ID,Label,L,W,H,SpaceC,SpaceD,VA,VB
1,2,789,347,374,124947,71249.5,234,310
2,1,662,377,403,60652,51092.5,256,400
3,0,700,426,450,82710.5,73116.5,354,352
4,0,780,371,298,83778.5,95746.5,302,301
5,0,711,407,545,100682,72760.5,272,353
6,3,651,403,323,51367,73099,209,292
7,0,602,464,389,101294.5,91427,314,475
8,0,689,378,410,97033.5,48581.5,254,395
9,2,639,333,313,90105,54587.5,317,304
10,1,777,354,399,124783.5,64955,351,373
11,2,699,338,408,120138.5,63295.5,409,258
12,1,659,401,418,95232.5,80270.5,296,288
13,4,734,327,451,144558,61432,228,371
14,1,676,361,425,157655.5,65322.5,264,357
15,0,531,499,585,85082,76576.5,351,446
16,0,737,299,362,37727,48722.5,320,15
17,0,753,288,400,101039.5,57906,314,403
18,0,759,469,336,72515,101392.5,265,290
19,0,715,475,559,112136.5,106795.5,284,460
20,3,783,397,362,77248,83437,248,367
21,1,735,350,420,67825.5,75182.5,283,442
22,1,686,303,287,51722,52781.5,365,458
23,0,765,415,300,90059.5,97303.5,298,346
24,1,779,330,337,104969.5,51986.5,297,327
25,2,567,325,405,64722.5,46599.5,11,372
26,0,721,390,378,78609,82073.5,348,462
27,3,702,446,407,80216.5,73697.5,406,402
28,2,655,319,281,30743,49240,319,311
29,2,646,402,367,87753,72650,356,332
30,0,829,428,496,141247,107604,253,334
31,4,628,367,369,94762.5,53632,253,201
32,0,772,367,479,121538.5,81390,218,350
33,3,563,302,324,57471,43784.5,283,290
34,0,648,363,438,77570,54031,270,405
35,1,620,381,511,94949,49104,344,271
36,3,865,462,438,100117,119627.5,296,441
37,3,652,404,503,165535.5,77140,284,369
38,3,776,508,424,108166,109387,362,301
39,4,646,352,486,80401.5,66312.5,333,375
40,2,690,317,383,160069,62010,309,316
41,4,597,326,395,72061,50804,285,354
42,3,740,361,394,104164.5,82523,352,367
43,1,710,323,495,96065.5,63345,273,399
44,3,627,422,434,115949.5,83760,201,319
45,1,741,349,512,175244.5,60521.5,270,317
46,2,813,390,468,156331.5,92629.5,4,442
47,3,711,454,554,243806.5,86086.5,256,383
48,1,650,330,406,58576.5,58467.5,257,378
49,2,784,410,422,144382.5,99427,279,346
50,3,652,441,445,85249.5,70042.5,291,297
51,1,676,426,540,151618,67283,274,461
52,2,629,400,404,140242.5,65079,26,251
53,2,745,448,407,89928,89787.5,281,334
54,1,1019,425,434,120598.5,138264.5,287,305
55,1,778,364,352,88585.5,87183,236,346
56,2,754,360,389,71884.5,68989,446,341
57,3,702,345,440,99637.5,59988,184,377
58,4,582,324,338,45760,49564.5,218,329
59,3,753,391,448,119400,83329.5,223,332
60,2,736,425,439,108927,81023,289,361
61,1,663,407,475,175341,72248,292,301
62,0,684,270,428,98058.5,49913.5,273,307
63,4,761,604,362,104548.5,108460.5,342,269
64,2,669,340,430,122281,41037,0,276
65,2,794,423,403,105014.5,109348,8,60
66,3,714,340,575,194961,71486.5,211,353
67,1,712,445,412,70365,81911,255,356
68,3,669,351,424,126850,71702.5,256,447
69,2,933,271,643,97890.5,79265,254,446
70,3,842,298,440,123823,66612.5,268,317
71,2,590,289,415,41032,42183,205,366
72,2,779,402,355,125838,81966.5,295,2
73,4,652,308,526,130988.5,56319,378,286
74,0,762,518,547,189729,117767,279,372
75,0,797,465,585,164485,101831.5,180,254
76,3,730,350,384,93681,57716.5,294,318
77,0,675,395,407,85911.5,83736.5,331,467
78,1,887,398,405,144946,119240,303,338
79,2,876,450,618,214567.5,109045,238,310
80,2,725,373,564,141894.5,58216,251,459
81,2,713,334,315,38942,69558,220,265
82,0,624,353,318,40058.5,60983,387,528
83,1,600,437,357,132926.5,87726,339,324
84,2,669,474,415,93979,72414.5,241,359
85,1,713,363,557,140891,72128.5,12,340
86,2,807,317,413,115695,57892.5,239,297
87,2,891,342,389,44703,59132,294,325
88,2,694,425,536,113645.5,78003,316,288
89,1,850,368,394,84955,77442,273,346
90,0,747,455,632,178153,88953,121,222
93,2,854,412,354,101807,115000,280,375
94,2,756,406,427,76754,89202.5,308,434
95,1,628,383,386,53252,71986,341,315
96,3,678,325,322,47772.5,61050.5,251,318
97,2,538,415,372,88070,58401.5,0,397
98,3,571,370,284,36685,42200,364,352
99,3,728,389,432,145849.5,80374.5,273,377
100,2,754,436,382,95805.5,94106.5,323,437
101,1,888,367,407,128206,94153,259,309
102,1,790,418,353,57871.5,75511,251,408
103,1,806,539,450,128904.5,134982.5,289,412
104,1,786,339,414,79790,83824,381,411
105,1,918,319,469,94352,87368.5,324,505
106,2,652,398,415,127393.5,63077,253,366
107,4,817,440,362,82372.5,93444,368,270
108,4,708,361,340,44267,62286.5,278,386
109,1,732,339,304,93294,56184.5,283,324
110,0,692,329,466,90373,81887,419,488
111,2,684,358,456,144968.5,69649,40,283
112,4,675,393,405,86822.5,62710.5,268,416
113,4,704,342,377,122859.5,60970.5,426,283
114,4,665,384,326,70723,66339.5,453,348
115,2,685,347,293,59913.5,72746,355,356
116,3,624,390,336,56231,39540,272,429
117,2,665,458,372,64066.5,91790.5,462,412
118,0,831,450,361,90392.5,124604.5,366,252
119,1,620,386,321,57053.5,66310.5,432,312
120,1,627,393,303,55014.5,70104,442,418
121,3,595,443,394,77458.5,69263,291,346
122,3,739,380,317,63138.5,75734.5,311,460
123,4,634,343,312,56590,55963.5,283,368
124,0,714,391,441,113489.5,63341.5,371,4
125,4,566,331,332,35940.5,39059.5,281,303
126,4,478,335,300,47257.5,37717.5,273,370
127,3,664,279,428,73603,42642.5,251,503
128,2,719,321,393,47248.5,68919.5,365,400
129,1,602,373,380,87654.5,45241.5,306,268
130,0,612,388,440,108315.5,57117.5,343,536
131,0,683,477,495,123877,86324.5,271,364
132,1,782,410,576,99606,78925,372,380
133,3,605,463,439,102112.5,60570,330,277
134,1,688,304,425,34141.5,55626.5,329,323
135,1,733,288,395,61326,55546,321,488
136,1,806,326,390,98461.5,76394.5,282,432
